:		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Nilssonia gangetica	3	2	2	1	4	?	1	1	2	1	?		1	2	2	2	3	1	1	2	2	?	2	1	1	?	?	?	1	?	?	1	2	1	?	1	?	?	?	?	2	?	?	?	?	?	?	2	2	?	?	?	2	1	?	?	?	1	1	3	?	?	?	3	1	?	?	1	1	1	1	1	2	1	1	2	?	1	?	?	?	?	?	?	?	?	1	1	?	2	3	1	1	?	2	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	1	2	
Black	Dot	Nilssonia hurum	3	2	2	1	4	?	1	1	2	1	?	1	1	1	2	2	3	1	1	2	2	?	2	1	1	?	?	?	1	?	?	1	2	2	?	1	?	?	?	?	3	?	?	?	?	?	?	2	2	?	?	?	2	1	?	?	?	1	1	3	?	?	?	3	1	?	?	1	1	1	2	1	3	1	1	1	?	1	?	?	?	?	?	?	?	?	1	1	?	2	1	1	1	?	2	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	1	2	
Black	Dot	Chitra indica	3	2	3	2	4	?	1	1	3	1	?	1	1	1	1	1	3	1	1	1	2	?	2	1	1	?	?	?	2	?	?	1	2	3	?	2	?	?	?	?	1	?	?	?	?	?	?	1	1	?	?	?	2	1	?	?	?	1	1	2	?	?	?	1	2	?	?	3	1	0	3	1	3	0	0	1	?	1	?	?	?	?	?	?	?	?	2	2	?	3	2	2	1	?	1	?	?	2	?	1	?	?	?	?	?	?	2	?	1	?	?	2	2	
Black	Dot	Nilssonia leithii	3	2	2	1	4	?	1	1	2	1	?	1	1	2	1	1	3	1	1	2	2	?	2	1	1	?	?	?	1	?	?	2	?	2	?	1	?	?	?	?	2	?	?	?	?	?	?	2	2	?	?	?	2	1	?	?	?	1	1	3	?	?	?	3	1	?	?	1	1	0	1	1	3	1	1	1	?	1	?	?	?	?	?	?	?	?	1	1	?	3	2	1	1	?	2	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	1	2	
Black	Dot	Apalone mutica	4	2	2	2	4	?	1	2	1	1	?	1	1	2	3	2	4	3	1	1	2	?	2	2	1	?	?	?	2	?	?	2	2	2	?	1	?	?	?	?	3	?	?	?	?	?	?	1	2	?	?	?	2	1	?	?	?	1	1	3	?	?	?	1	1	?	?	1	2	?	1	1	2	2	2	2	?	2	?	?	?	?	?	?	?	?	1	1	?	2	2	1	1	?	1	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	2	2	
Black	Dot	Nilssonia nigricans	3	2	2	1	4	?	1	1	2	1	?	1	1	2	1	2	3	?	1	2	2	?	2	1	1	?	?	?	1	?	?	2	?	1	?	1	?	?	?	?	2	?	?	?	?	?	?	2	2	?	?	?	2	1	?	?	?	1	1	2	?	?	?	3	1	?	?	3	1	1	1	1	3	1	1	1	?	2	?	?	?	?	?	?	?	?	1	1	?	2	2	1	1	?	2	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	1	2	
Black	Dot	Lissemys punctata	2	1	1	1	3	?	2	1	1	2	?	1	2	4	1	2	2	1	2	1	1	?	1	1	2	?	?	?	1	?	?	1	2	2	?	1	?	?	?	?	1	?	?	?	?	?	?	2	1	?	?	?	2	2	?	?	?	2	1	3	?	?	?	1	1	?	?	2	1	1	1	1	1	1	1	1	?	1	?	?	?	?	?	?	?	?	1	1	?	2	1	1	2	?	1	?	?	2	?	1	?	?	?	?	?	?	1	?	2	?	?	1	2	
Black	Dot	Cyclanorbis senegalensis	3	2	2	1	4	?	2	1	0	2	?	2	2	5	?	4	?	1	1	1	1	?	1	1	1	?	?	?	1	?	?	1	2	3	?	2	?	?	?	?	2	?	?	?	?	?	?	1	1	?	?	?	3	2	?	?	?	2	1	3	?	?	?	1	1	?	?	3	2	?	1	2	1	1	1	1	?	1	?	?	?	?	?	?	?	?	1	1	?	2	1	1	2	?	1	?	?	2	?	2	?	?	?	?	?	?	2	?	2	?	?	2	1	
Black	Dot	Pelodiscus sinensis	4	2	2	2	4	?	1	1	1	1	?	1	1	2	3	2	4	2	1	3	2	?	2	2	1	?	?	?	1	?	?	2	2	2	?	1	?	?	?	?	3	?	?	?	?	?	?	2	2	?	?	?	2	2	?	?	?	1	2	3	?	?	?	3	1	?	?	1	1	2	1	1	3	1	1	2	?	1	?	?	?	?	?	?	?	?	1	1	?	2	2	1	1	?	1	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	1	2	
Black	Dot	Apalone spinifera	3	2	2	2	4	?	1	2	1	1	?	1	1	3	3	2	4	3	1	1	2	?	2	2	1	?	?	?	2	?	?	1	2	1	?	1	?	?	?	?	3	?	?	?	?	?	?	1	1	?	?	?	2	1	?	?	?	1	1	3	?	?	?	2	1	?	?	1	2	?	1	1	3	2	2	2	?	2	?	?	?	?	?	?	?	?	1	1	?	2	3	1	1	?	1	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	2	2	
Black	Dot	Palea steindachneri	2	2	2	2	4	?	1	1	3	1	?	1	1	2	1	2	2	1	1	3	2	?	2	2	1	?	?	?	1	?	?	1	2	3	?	1	?	?	?	?	3	?	?	?	?	?	?	2	2	?	?	?	2	1	?	?	?	1	2	3	?	?	?	3	1	?	?	1	2	?	3	1	3	1	2	1	?	1	?	?	?	?	?	?	?	?	?	?	?	2	2	1	1	?	1	?	?	1	?	?	?	?	?	?	?	?	2	?	?	?	?	?	?	
Black	Dot	Dogania subplana	4	2	2	2	4	?	1	1	3	1	?	1	1	1	2	0	2	3	1	3	2	?	2	2	1	?	?	?	1	?	?	1	?	2	?	1	?	?	?	?	3	?	?	?	?	?	?	2	2	?	?	?	2	1	?	?	?	1	2	3	?	?	?	2	1	?	?	1	1	?	1	1	2	1	2	2	?	1	?	?	?	?	?	?	?	?	1	1	?	3	2	1	1	?	2	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	1	2	
Black	Dot	Rafetus swinhoei	?	?	?	2	4	?	1	2	4	1	?	1	1	?	?	?	?	?	1	1	2	?	2	1	1	?	?	?	1	?	?	2	?	1	?	1	?	?	?	?	2	?	?	?	?	?	?	1	1	?	?	?	2	2	?	?	?	1	1	3	?	?	?	1	1	?	?	1	1	0	1	1	3	2	1	2	?	2	?	?	?	?	?	?	?	?	?	?	?	3	?	1	1	?	1	?	?	2	?	?	?	?	?	?	?	?		?	?	?	?	?	?	
Black	Dot	Trionyx triunguis	3	2	2	2	4	?	1	1	3	1	?	1	1	3	1	2	3	2	1	1	2	?	2	1	1	?	?	?	1	?	?	1	2	1	?	1	?	?	?	?	3	?	?	?	?	?	?	2	2	?	?	?	2	1	?	?	?	1	1	3	?	?	?	1	1	?	?	1	1	0	1	1	2	1	?	2	?	2	?	?	?	?	?	?	?	?	1	1	?	2	2	1	1	?	1	?	?	1	?	1	?	?	?	?	?	?	2	?	1	?	?	1	2	
Black	Dot	Bouldnor Specimen 	?	?	?	2	4	2	?	2	3	1	1	?	2	?	?	1	5	?	?	?	1	?	1	1	2	3	2	2	?	2	3	1	2	1	1	?	2	?	2	2	2	1	?	1	?	2	?	?	?	?	?	2	?	?	2	?	?	2	2	1	2	1	2	3	1	?	1	3	?	?	?	?	?	?	2	1	1	2	3	2	?	2	?	?	?	?	?	?	?	2	2	?	?	2	1	?	?	?	2	?	?	?	?	?	?	?	?	?	?	?	1	2	?	
Black	Dot	"Trionyx" henrici	4	?	3	2	4	2	2	2	3	1	1	?	?	4	1	2	5	?	?	?	1	?	1	1	2	3	2	2	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2	1	?	?	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Black	Dot	"Trionyx" silvestris	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2	3	1	2	1	1	2	?	?	2	2	2	1	?	?	?	2	2	2	1	3	1	2	2	2	2	2	?	2	2	1	2	1	2	3	1	1	1	3	?	?	?	?	?	?	2	1	1	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Black	Dot	"Trionyx" boulengeri	4	?	3	2	4	2	1	2	?	1	1	?	?	3	?	2	5	?	?	?	1	?	?	1	2	3	2	2	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Black	Dot	IWCMS: 2020.438/IWCMS 2023.144	4	?	?	2	4	2	2	2	3	1	1	1	2	4	?	1	5	?	?	?	1	?	1	1	2	3	2	2	?	2	?	?	?	?	?	2	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?	3	2	?	2	?	?	?	?	?	?	?	?	?	?	?	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	1	2	?	
