Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
620	-1258.029	-1235.839	-22.19024	5.200307	0.51019	0.808606	1.08294	1.59827	4.805591
630	-1248.581	-1223.664	-24.91726	2.923106	0.383224	0.72718	1.08211	1.80749	5.078294
640	-1275.687	-1242.233	-33.45361	2.548776	0.351033	0.703028	1.07916	1.86678	5.931929
650	-1242.426	-1224.764	-17.66137	2.001597	0.293465	0.655183	1.07003	1.98132	4.352705
660	-1264.965	-1234.855	-30.1102	2.054373	0.29968	0.660674	1.07129	1.96835	5.597587
670	-1256.306	-1234.885	-21.42166	6.764296	0.56213	0.836845	1.0795	1.52152	4.728733
680	-1266.367	-1241.087	-25.28041	3.928803	0.450408	0.77271	1.08441	1.69248	5.114608
690	-1262.795	-1237.073	-25.72196	19.29891	0.7273	0.912062	1.05842	1.30222	5.158764
700	-1252.649	-1236.138	-16.51181	10.96999	0.646509	0.877774	1.07044	1.40528	4.237749
710	-1247.774	-1227.477	-20.29668	2.872903	0.379184	0.724239	1.08181	1.81477	4.616236
720	-1260.865	-1229.558	-31.30635	2.109447	0.305998	0.666169	1.0725	1.95533	5.717202
730	-1250.379	-1231.058	-19.32069	28.05215	0.771249	0.92895	1.05072	1.24908	4.518637
740	-1246.365	-1226.093	-20.27225	2.751487	0.369073	0.716769	1.08098	1.83318	4.613793
750	-1254.85	-1230.651	-24.19964	3.945831	0.451361	0.773315	1.08441	1.69092	5.006531
760	-1248.375	-1226.153	-22.22263	5.892518	0.535396	0.822627	1.0815	1.56048	4.80883
770	-1259.824	-1234.229	-25.59454	4.411547	0.475634	0.788338	1.08414	1.65189	5.146022
780	-1263.49	-1237.016	-26.4738	2.982573	0.387909	0.730558	1.08243	1.7991	5.233948
790	-1251.621	-1230.489	-21.13246	5.132481	0.507489	0.807067	1.08306	1.60238	4.699814
800	-1249.78	-1226.245	-23.53527	3.581709	0.429795	0.759377	1.08419	1.72663	4.940095
810	-1258.208	-1236.95	-21.25721	5.369873	0.51675	0.812315	1.0826	1.58833	4.712289
820	-1253.019	-1238.211	-14.80728	9.51198	0.623127	0.866994	1.07334	1.43654	4.067295
830	-1251.74	-1229.769	-21.97066	4.088094	0.459137	0.778201	1.08438	1.67828	4.783634
840	-1261.994	-1241.342	-20.65165	6.645383	0.558759	0.835088	1.07978	1.52637	4.651733
850	-1254.099	-1237.154	-16.9451	3.247579	0.407552	0.744376	1.08349	1.76458	4.281078
860	-1260.077	-1242.712	-17.36483	1.955627	0.28792	0.650211	1.06884	1.99303	4.323051
870	-1264.717	-1241.86	-22.85728	3.115633	0.398014	0.737736	1.08303	1.78122	4.872295
880	-1239.933	-1227.769	-12.16426	5.136461	0.507648	0.807158	1.08306	1.60214	3.802994
890	-1258.985	-1232.984	-26.00093	3.877825	0.447522	0.770875	1.0844	1.6972	5.186661
900	-1251.635	-1230.095	-21.54041	1.614528	0.242485	0.606572	1.05649	2.09445	4.740609
910	-1252.626	-1225.014	-27.61155	8.731774	0.608493	0.860035	1.07501	1.45646	5.347723
920	-1255.755	-1226.278	-29.47688	3.621757	0.432294	0.761022	1.08424	1.72244	5.534256
930	-1255.51	-1236.738	-18.77211	7.084939	0.570841	0.84134	1.07876	1.50906	4.463779
940	-1252.585	-1232.224	-20.36106	4.356702	0.472945	0.786706	1.0842	1.65615	4.622674
950	-1260.772	-1237.501	-23.27097	2.546973	0.350865	0.702898	1.07914	1.8671	4.913665
960	-1249.759	-1230.192	-19.56705	5.471029	0.520538	0.814437	1.0824	1.58263	4.543273
970	-1264.353	-1236.924	-27.42934	2.496772	0.34615	0.699214	1.07859	1.87604	5.329501
980	-1265.051	-1239.095	-25.95513	3.590836	0.430367	0.759755	1.0842	1.72567	5.182081
990	-1251.029	-1230.096	-20.93339	3.578811	0.429613	0.759257	1.08419	1.72694	4.679907
1000	-1257.974	-1235.108	-22.86586	5.850315	0.533971	0.821851	1.08159	1.56259	4.873154
1010	-1251.57	-1227.899	-23.67075	8.535808	0.604535	0.858124	1.07544	1.4619	4.953642
1020	-1261.777	-1235.206	-26.57121	8.6178	0.606206	0.858932	1.07526	1.4596	5.243688
1030	-1245.441	-1229.176	-16.26518	2.056323	0.299907	0.660872	1.07134	1.96788	4.213085
1040	-1245.714	-1228.433	-17.28088	3.892704	0.448369	0.771415	1.0844	1.69581	4.314656
1050	-1256.986	-1232.719	-24.26747	6.380806	0.550963	0.830985	1.08039	1.53766	5.013314
1060	-1259.199	-1228.158	-31.0405	2.654412	0.360624	0.710401	1.08018	1.84879	5.690618
1070	-1259.774	-1233.347	-26.42748	5.307955	0.514386	0.810984	1.08273	1.5919	5.229316
1080	-1260.723	-1237.639	-23.08357	4.009423	0.454879	0.775534	1.0844	1.68519	4.894924
1090	-1247.183	-1229.32	-17.86356	11.08918	0.64823	0.878551	1.07021	1.403	4.372924
1100	-1262.665	-1241.828	-20.83691	10.62106	0.641318	0.875416	1.07111	1.41216	4.670259
1110	-1265.548	-1233.932	-31.61664	3.08391	0.395651	0.73607	1.0829	1.78538	5.748232
1120	-1259.951	-1236.691	-23.26016	3.410463	0.418718	0.751989	1.08391	1.74538	4.912583
1130	-1263.838	-1245.727	-18.11049	6.397469	0.551467	0.831252	1.08035	1.53693	4.397616
1140	-1259.897	-1241.793	-18.10373	3.144604	0.400148	0.739233	1.08314	1.77748	4.39694
1150	-1268.236	-1241.122	-27.11394	2.884517	0.380126	0.724927	1.08188	1.81306	5.297962
1160	-1259.376	-1226.073	-33.30315	3.742756	0.439647	0.765816	1.08435	1.71019	5.916883
1170	-1259.526	-1237.225	-22.30131	56.57124	0.836424	0.951933	1.03798	1.17367	4.816699
1180	-1252.577	-1236.613	-15.96429	29.28323	0.775854	0.930653	1.04987	1.24362	4.182996
